# Tab-separated values. Open with a spreadsheet app such as Excel.

# READ-ONLY. DO NOT MODIFY OR DELETE.

#Template Name	#Size (bytes)
GcTextStyleOutline	0x0000000000000020
GcTextStyleShadow	0x0000000000000020
NMSString0x20	0x0000000000000020
TkControllerSpecification	0x0000000000000020
TkInstanceWindComponentData	0x0000000000000020
TkProceduralModelList	0x0000000000000020
TkResourceDescriptorList	0x0000000000000020
TkRotationComponentData	0x0000000000000020
TkVertexElement	0x0000000000000020
TkVertexLayout	0x0000000000000020
GcExpeditionDebriefPunctuation	0x0000000000000024
GcSpaceshipAvoidanceData	0x0000000000000024
GcRichPresenceGlobals	0x0000000000000024
GcMissileComponentData	0x0000000000000024
GcMissionTextDummy	0x0000000000000024
GcNumberedTextList	0x0000000000000024
GcPlayerNearbyEvent	0x0000000000000024
GcRewardScanEvent	0x0000000000000024
TkTransformData	0x0000000000000024
GcLegacyItem	0x0000000000000028
GcSavedInteractionDialogData	0x0000000000000028
GcTelemetryStat	0x0000000000000028
GcFrigateInteractionAction	0x0000000000000028
GcRewardWikiTopic	0x0000000000000028
GcPlanetCloudProperties	0x0000000000000028
GcDamageMultiplierLookup	0x0000000000000028
GcButtonSpawn	0x0000000000000028
GcCameraAmbientSpaceData	0x0000000000000028
GcCreatureMovementData	0x0000000000000028
GcCreatureStupidName	0x0000000000000028
GcCreatureVocalSoundData	0x0000000000000028
GcCustomInventoryComponentData	0x0000000000000028
GcGenericRewardTableEntry	0x0000000000000028
GcHUDComponent	0x0000000000000028
GcInventoryCostDataEntry	0x0000000000000028
GcPlayerStatsGroup	0x0000000000000028
GcProjectileLineData	0x0000000000000028
GcRewardSpecificSubstance	0x0000000000000028
GcRewardWantedLevel	0x0000000000000028
GcSelectableObjectList	0x0000000000000028
GcStatDefinition	0x0000000000000028
GcTradingSupplyData	0x0000000000000028
GcWeatherWeightings	0x0000000000000028
GcSmokeTestOptions	0x0000000000000028
TkActionButtonMap	0x0000000000000028
TkAnimPoseCorrelationData	0x0000000000000028
TkAttachmentData	0x0000000000000028
TkNoiseFlattenPoint	0x0000000000000028
TkPlatformButtonPair	0x0000000000000028
TkRagdollData	0x0000000000000028
GcAudioPulseDemo	0x000000000000002C
GcBoidData	0x000000000000002C
GcCameraAmbientSpecialData	0x000000000000002C
GcDroneControlData	0x000000000000002C
GcNGuiLayoutData	0x000000000000002C
GcSolarSystemEventWarpOut	0x000000000000002C
GcSolarSystemLocatorChoice	0x000000000000002C
TkJointMirrorAxis	0x000000000000002C
GcCharacterCustomisationTextureOptionData	0x0000000000000030
GcCustomisationDescriptorGroupOptions	0x0000000000000030
GcCustomisationDescriptorGroupOption	0x0000000000000030
GcStoryUtilityOverride	0x0000000000000030
GcAtmosphereEntryComponentData	0x0000000000000030
GcPlayerCharacterAnimationOverrideData	0x0000000000000030
GcRewardSpecificSpecial	0x0000000000000030
GcRewardProcTechProduct	0x0000000000000030
TkInteractiveSceneData	0x0000000000000030
GcAlienPuzzleMissionOverride	0x0000000000000030
GcAmbientModeCameras	0x0000000000000030
GcBaseBuildingProperties	0x0000000000000030
GcBuildingOverrideData	0x0000000000000030
GcCameraAerialViewData	0x0000000000000030
GcColourModifier	0x0000000000000030
GcCostBuildingParts	0x0000000000000030
GcGalaxyRenderAnostreakData	0x0000000000000030
GcInventoryBaseStat	0x0000000000000030
GcInventoryElement	0x0000000000000030
GcLightProperties	0x0000000000000030
GcMarkerComponentData	0x0000000000000030
GcMissionBoardOptions	0x0000000000000030
